MSID;Название;Широта;Долгота;V10 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;V100 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;V200 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;m по месяцам,январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;Среднее m;a;b;R
24908;Ванавара;60,3;102,3;1,3;0,9;0,9;1,5;1,3;1;0,7;0,7;0,9;1,3;1,5;1,1;5,5;5;5,4;5,8;5,8;5,2;5,4;5,1;5;5,4;5,1;5,1;7,5;6,5;7,5;7,9;7,8;7;6,9;6,6;6,7;7,2;7;7;0,626419337187407;0,744727494896694;0,778151250383644;0,587336734507256;0,649484641256101;0,716003343634799;0,887295719808712;0,86247213608368;0,744727494896694;0,618450407516132;0,531478917042255;0,666177490939711;0,701060414012757;0,7153;-0,561;0,979438614717635
29570;Красноярск;56;92,9;2,4;1,9;1,7;2,4;1,3;0,9;0,5;0,5;1,2;2;2,8;2,4;6,8;6;5,8;7,2;6,3;5,7;4,5;4,7;5,5;6,4;7,1;6;7,6;6,6;6,5;8,1;7,4;6,7;5,2;5,7;6,6;7,2;8;6,8;0,45229767099463;0,499397649430815;0,532979072184663;0,477121254719662;0,685397197146745;0,801632346233166;0,954242509439325;0,973127853599699;0,661181443446619;0,505149978319906;0,404100317376856;0,397940008672038;0,612047275130344;0,7076;-0,515;0,98066304100848
29282;Богучаны;58,4;97,4;2,1;1,7;1,8;2,6;2,2;2;2,3;1,4;1,8;2,6;2,7;1,8;4,2;3,6;4;4,8;4,6;3,9;4;3,2;3,7;4,5;4,9;3,8;5,7;5;5,4;6,1;6;5,1;4,8;4;4,9;5,6;6;5;0,301029995663981;0,325853579389013;0,346787486224656;0,266267889404769;0,320335150859368;0,290034611362518;0,24033215531037;0,359021942641668;0,312929218963689;0,238239165804526;0,258832315869526;0,324511091513504;0,298681216917299;0,4542;-0,598;0,864754300365138
20069;о.Визе ;79,5;77;5,6;6,4;5,8;6;5,5;5,6;5,6;5,6;7;7,5;6,6;6,2;9,8;11;10,2;9,2;7,8;7,6;7,9;7,8;9,5;10,7;10,2;9,8;9,2;11;9,8;8,8;7,3;7,4;7,9;7,6;9,3;10,4;10,1;9,4;0,243038048686294;0,235212711174338;0,24517217819898;0,185636576961912;0,151731913196237;0,132625565274591;0,149439064284241;0,14390657568428;0,132625565274591;0,15432251429351;0,189056236220049;0,198834386194241;0,180133444620272;0,2381;-0,168;0,0734846922834953
20046;о.Хейса;80,6;58;4,9;6;5,1;4,8;4,7;5,3;4,5;4,5;6;6,3;5,6;5,6;7,4;8,3;7,7;7;6,2;7;6,2;6;7,6;8,4;7,5;7,9;6,8;7,6;7,2;6,9;6;6,7;5,8;5,8;7,2;8;7,5;7,6;0,179035639702463;0,14092684199243;0,178920549074546;0,16385680263867;0,120293831562536;0,120822170413468;0,13917917572291;0,1249387366083;0,102662341897148;0,1249387366083;0,1268732363855;0,149439064284241;0,139323927240876;0,2906;-0,452;0,309030742807249
20674;о.Диксон;73,5;80,2;7,5;7,9;7;6,9;7;6,9;5,5;5,8;7,2;7,7;6,9;7,1;9,9;11,1;9,4;9,5;8,2;8,8;8,2;7,9;9,3;9,8;9,4;10,1;10,3;11,7;9,7;10;8,3;9,2;8,7;8,4;9,9;10,1;10;10,7;0,12057393120585;0,147695887496216;0,128029813585442;0,138874514551592;0,0687158123694598;0,105633581412913;0,173451162889473;0,134199097727504;0,111150452122667;0,104735350520013;0,134278762862443;0,153063025063567;0,126700115983928;0,5464;-0,768;0,338082830087539
23274;Игарка ;67,5;86,6;5,2;4,6;4,6;5;4,8;4,3;3,7;3,9;5;5,3;5,2;4,7;7,1;7,3;7,1;7,4;7;6,8;6,8;7;7,1;6,7;7,8;7,3;8,7;8,8;8,2;8,2;7,5;7,7;7,5;7,7;8,1;7,6;8,8;8,6;0,135255005084276;0,200565028438882;0,188500517037501;0,170261715394957;0,16385680263867;0,19904045712665;0,264307188639241;0,254033432987758;0,152288344383056;0,101798933100037;0,176091259055681;0,191225002184738;0,183101973839287;3,8095;-1,99;0,876070773396762
23472;Туруханск ;65,8;87,9;3,6;3,3;3,2;3,3;3,4;3;2,4;2,6;3;3,7;3,5;3,3;7,6;7,3;7,6;7,3;7,2;7;6,3;6,3;6,5;7,3;7,5;7,3;8,2;7,9;8,2;7,8;7,5;7,4;6,7;6,5;7,3;7,8;8,4;8,1;0,324511091513504;0,344808920242568;0,375663613960885;0,344808920242568;0,325853579389013;0,367976785294594;0,419129307741976;0,384367201482764;0,335792101923193;0,295121136053461;0,330993219041424;0,344808920242568;0,349486233094043;0,7285;-0,64;0,893084542470644
23884;Подкам. Тунгуска (Бор);61,6;90;2,2;1,7;2;2,4;2,2;2,1;1,3;1,2;1,8;2,8;2,7;2,3;5,1;4,9;5,4;6,3;5,8;5,3;4,6;4,8;5,4;6;5,8;5,2;6,7;6,3;6,9;7,4;6,9;6,5;5,5;5,9;6,4;7;7;6,4;0,36514749527573;0,45974715865024;0,431363764158987;0,419129307741976;0,421005312740731;0,40205657486687;0,548814479374737;0,602059991327962;0,477121254719662;0,330993219041424;0,33206422940395;0,354275507617206;0,42864819124329;0,6751;-0,68;0,951525091629222
30230;Киренск;57,8;108,1;1,6;1;1;1,5;1;0,8;0,7;0,6;0,8;1,3;1,7;1,3;5,6;4,3;4,6;5,2;4,6;3,8;3,8;3,6;4,5;5,1;5,6;5,2;6,6;5;5,3;6,1;5,1;4,4;4,2;4,1;4,9;5,8;6,3;6,1;0,544068044350276;0,633468455579587;0,662757831681574;0,539912084579118;0,662757831681574;0,676693609624866;0,734685556602553;0,778151250383644;0,7501225267834;0,5936268237911;0,517739105627926;0,602059991327962;0,641336926001132;0,6489;-0,386;0,975961064797157
30521;Жигалово;54,8;105,2;0,9;0,9;1,3;1,9;1,4;1,3;1,1;1,1;1;1,3;1,2;1;2,7;2,7;3,2;3,7;3,3;2,9;2,5;2,6;2,7;3,2;3,2;2,9;3,4;3,2;3,9;4,3;3,8;3,3;2,8;2,9;3,2;3,7;3,9;3,6;0,477121254719662;0,477121254719662;0,391206626013069;0,289448123114166;0,372385904199649;0,348454645592119;0,356547323513813;0,373580662812593;0,431363764158987;0,391206626013069;0,425968732272281;0,462397997898956;0,399733576252335;0,4367;-0,611;0,878976677733829
30710;Иркутск;52,3;104,3;1,6;1,8;2,1;2,7;2,4;1,8;1,6;1,5;1,4;1,8;1,9;1,4;4,7;4,7;5,1;5,5;5,7;4,8;4,8;4,6;4,9;5,3;5,5;4,6;5,1;5,1;5,6;6,1;6,5;5,5;5,3;5,3;5,7;5,8;6,2;5,1;0,467977875279793;0,416825352832411;0,385350881364017;0,308998925335256;0,375663613960885;0,425968732272281;0,477121254719662;0,486666572625893;0,544068044350276;0,469003364497483;0,461609088541415;0,516629796003336;0,444656958481892;0,6739;-0,728;0,952260468569393
29698;Нижнеудинск;54,9;99;1;1,3;1,6;2,2;1,9;1,2;0,8;1,1;1,2;1,5;2,1;1,2;3,8;4,3;4,8;5,2;4,8;4,1;3,5;4;4,4;4,5;5,1;3,7;4,4;4,9;5,4;5,8;5,4;4,6;3,8;4,5;4,9;4,9;5,7;4,2;0,57978359661681;0,51952510327275;0,477121254719662;0,373580662812593;0,402487636422758;0,533602610672111;0,640978057358332;0,560667306169737;0,564271430438563;0,477121254719662;0,385350881364017;0,48902047801937;0,50029252271553;0,5842;-0,541;0,974320275884681
29612;Барабинск;55,4;78,4;4,5;3,7;3,8;4,1;3,7;3,4;2,2;2,4;2,9;4;5,1;4,6;8,5;8,4;8;8,7;8,3;8;7,1;7,4;7,8;7,9;8,8;9,1;9,3;8,6;8,3;9;8,6;8,1;6,9;7,4;7,9;8,4;9,4;9,8;0,276206411938949;0,356077561994887;0,323306390375133;0,326735395898883;0,350876368309079;0,371611069949688;0,508835667896869;0,48902047801937;0,429696604791524;0,295567099962479;0,236912496052232;0,29628356063952;0,355094092152384;1,0574;-0,871;0,977650244208019
29634;Новосибирск;55;82,9;3,3;2,9;2,7;2,7;2,2;2,2;1,6;1,8;2,3;3,2;3,6;3,1;7,3;6,9;7;7,4;6,9;7;5,9;5,8;6,4;6,7;7,6;7,2;9,8;9,1;9,3;9,8;9;8,8;7,2;7,4;8,3;9;9,7;9,2;0,344808920242568;0,376451092838299;0,41373427585527;0,437867955571989;0,496426409915049;0,502675359192051;0,566732028986219;0,508155488459631;0,444452137966294;0,32092482438092;0,324511091513504;0,365970802596996;0,425225865626566;0,8299;-0,728;0,957235603182414
23955;Александровское;60,4;77,9;3,2;3,1;3;3;3,1;3,2;2;2,5;2,5;3,4;3,6;3,1;8,4;8,3;8,8;8;7,6;7,4;6;6,7;7,8;7,9;8,4;8,2;8,7;8,2;8,7;8,2;8;7,6;6;7;8,2;8,1;8,8;8,7;0,419129307741976;0,427716398541801;0,467361417430506;0,425968732272281;0,389451898446519;0,36408174141107;0,477121254719662;0,428134794028789;0,494154594018443;0,366148174248186;0,367976785294594;0,422452158549444;0,420808104725273;0,7035;-0,481;0,751531769122237
28698;Омск;54,9;73,4;4;3,6;3,5;3,7;3,4;3,1;2,2;2,3;2,9;3,7;4,7;4;8,2;8,3;8,1;8,6;8,2;7,6;6,3;6,9;7,5;8,2;9,1;8,5;9,5;9;8,9;9,5;9,1;8,8;7,3;8;8,4;9,1;10,1;9,8;0,311753861055754;0,362775591608787;0,364416974528374;0,366296727176573;0,382334935341462;0,389451898446519;0,456917868631375;0,477121254719662;0,412663265492744;0,345612128316722;0,286943534385376;0,32735893438633;0,373637247840807;0,8018;-0,64;0,969845348496347
23552;Тарко-Сале;64,9;77,8;2,8;2,7;2,7;2,9;3,1;3,2;2;1,9;2,4;2,8;2,9;2,6;8;8,6;8,1;8,1;7,1;6,9;6,3;6,4;7,6;7,9;8,4;8,1;8,5;9,1;8,6;8,6;7,6;7,2;6,5;6,8;8,1;8,4;9,1;8,7;0,455931955649724;0,50313468708458;0,477121254719662;0,446087020979694;0,359896654884803;0,333699112417349;0,4983105537896;0,527426373031058;0,500602350569185;0,450469059948222;0,461881288162926;0,493511670907832;0,459005998512053;0,8409;-0,633;0,734574706888278
23330;Салехард;66,5;66,5;3,7;3,6;3,5;4;3,8;3,9;2,9;2,3;3,1;3,5;3,7;3,6;7,6;7,5;7,2;7,4;7,6;7,3;7;6,5;7,3;7,4;7,6;7,4;7,8;7,5;7,8;7,6;7,6;7,4;6,9;6,5;7,5;7,6;7,7;7,3;0,312611868213796;0,318758762624413;0,313264452080993;0,267171728403014;0,301029995663981;0,272258253093957;0,382700042115301;0,451185520625263;0,371961166286183;0,325163675380701;0,312611868213796;0,312929218963689;0,328470545972091;1,0008;-0,912;0,970978887515068
23933;Ханты-Мансийск;61;69,1;3,6;3,4;3,6;2,9;2,9;2,9;1,9;2,1;3,2;3,5;3,9;3,7;8,1;7,7;8,3;7,9;7,6;7,4;6,6;6,8;8;7,8;8,8;8,3;8,6;8;8,5;8;7,9;7,8;7,2;7,2;8,4;8,3;9,2;8,8;0,352182518111362;0,355011808130227;0,362775591608787;0,435229093391485;0,418415594381835;0,40683372183202;0,54079033458904;0,510289617972317;0,397940008672038;0,348026558340205;0,35341806512367;0,350876368309079;0,402649106705172;0,8327;-0,658;0,979132268899356
23921;Ивдель;60,5;60,4;1,3;1,2;1,5;1,4;1,2;1;0,7;0,7;1;1,6;1,7;1,4;5,1;5,4;5,6;5,5;5,5;5,6;5,1;5,4;5,6;6,2;5,9;5,8;5,8;6;6,1;5,9;6;6,1;5,4;5,7;6,2;6,5;6,4;6,3;0,5936268237911;0,653212513775344;0,572096767950519;0,594234653816006;0,661181443446619;0,7481880270062;0,86247213608368;0,887295719808712;0,7481880270062;0,588271706842329;0,54040309026387;0,617299957884699;0,672205905639606;0,7266;-0,544;0,984479557939117
28440;Екатеринбург;56,8;60,6;2,6;2,6;2,2;2;1,7;1,8;1,3;1,5;1,9;2,4;2,5;2,7;8,9;9,7;8,6;8,5;7,6;7,3;6,3;7,1;7,9;8,1;8,5;9,2;10,4;10,9;9,7;9,2;8,7;8,3;6,9;8,2;9;9,6;10;10,6;0,534416658674095;0,571798386295427;0,592075770421361;0,628388930050311;0,650364670902517;0,60805035501715;0,685397197146745;0,675167089663394;0,618873490337613;0,528273777167044;0,531478917042255;0,532424063186568;0,596392442158707;0,7787;-0,378;0,936215787091843
28275;Тобольск;58,2;68,2;3,3;3,5;3,7;3;3;2,6;2,2;2,3;2,8;3,6;4,2;3,7;8,3;8,6;8,5;8,3;8,2;7,8;6,6;6,8;8,2;8,6;9;9;9,1;9,5;9,3;9,2;9;8,6;7,4;7,3;9,1;9,3;9,6;9,8;0,400564152498186;0,390430406893292;0,361217201647298;0,441956837656412;0,436692597664054;0,477121254719662;0,477121254719662;0,470781076688643;0,466655821041497;0,37819595047628;0,330993219041424;0,38604078537233;0,418147546534895;0,7939;-0,572;0,942655822662757
27199;Киров;58,7;49,6;3,8;4,1;4;3,8;3,3;2,9;2,8;2,9;3,5;4;3,8;4,2;7,9;8,2;8;7,8;7,6;7,2;6,8;6,9;7,6;7,9;8;8,3;9,1;9,3;9,4;8,9;8,8;8,1;7,4;7,6;8,9;9,2;9,1;9,8;0,317843494673631;0,301029995663981;0,301029995663981;0,31231100607367;0,362299652402904;0,394934498532312;0,385350881364017;0,376451092838299;0,336745547930516;0,295567099962479;0,323306390375133;0,295828801978173;0,333558204788258;0,8328;-0,725;0,981580358401695
28722;Уфа (город);54,8;56;3,3;3,3;3,2;2,4;2,4;2,3;1,8;1,7;2,2;3,2;3,4;3,6;6,6;6,7;6,6;6,1;6,6;6,7;6;6;6,7;7,1;6,8;6,8;7,3;7,3;7,3;6,7;6,7;6,8;6,3;6,1;7,4;7,9;7,3;7,5;0,301029995663981;0,307560862822939;0,314393957221963;0,405118593299161;0,439332693830263;0,464346966683234;0,522878745280338;0,54770232900537;0,48365212187862;0,346108370399169;0,301029995663981;0,276206411938949;0,392446753640664;0,939;-0,922;0,980561063881286
27595;Казань;55,8;49,2;4,7;5;4,5;3,8;3,7;3,2;3;2,9;3,5;4,4;4,7;4,9;7,3;7,4;7,1;7;6,6;6,2;6,4;6,4;6,7;6,9;7;7,2;7,4;7,5;7,5;7,2;6,8;6,4;6,5;6,6;7,2;7,3;7,1;7,6;0,191225002184738;0,170261715394957;0,198045834943732;0,265314443397447;0,251342211474874;0,287241711178348;0,329058719264225;0,343781976084931;0,282006758350551;0,195396414251068;0,173000182078539;0,167136416402755;0,23781761541718;1,4161;-1,321;0,986356933366416
28807;Самара;53,3;50,5;3,9;3,7;3,8;2,9;2,6;2;1,9;2;2,2;3,2;3,5;4,4;7,7;7,6;8,4;7,8;7,3;6,1;6;6,9;6,8;8,1;7,5;8,2;8,8;8,8;9,2;9,2;8,7;7,3;7,1;8,4;8,1;9,4;8,5;9,3;0,295426118145983;0,312611868213796;0,344495689445072;0,429696604791524;0,448349512149638;0,484299839346786;0,499397649430815;0,537819095073274;0,49008623188403;0,403335040558744;0,330993219041424;0,270361175897529;0,403906003664884;0,8701;-0,746;0,958331884056875
35121;Оренбург;51,8;55,1;4;4,2;3,6;3,5;3,1;2,7;2,7;2,8;2,6;3,3;3,7;3,9;7,3;8;7,6;7,3;7,7;6,7;6,4;6,4;6,9;7;7,8;8,1;8,1;8,5;8,3;8,5;8,6;7,3;7,1;7,2;7,7;8,2;8,3;8,7;0,261262868792493;0,279840696594043;0,324511091513504;0,31925481577018;0,395129031338209;0,394711038541839;0,3748162098249;0,359021942641668;0,423875742766437;0,326584100136369;0,323892878623485;0,317420411852151;0,341693402366273;0,8483;-0,77;0,905869747811461
27459;Нижний Новгород;56,3;44;3,2;3,1;3;2,7;2,4;2;2,2;2,2;2,5;3,1;3,2;3,6;8,1;8,5;8,2;8,2;7,6;6,7;6,5;7,1;7,8;8,3;8,4;8,7;9,4;9,7;9,5;9,3;8,7;7,8;7,6;8,2;8,6;9,7;9,7;9,9;0,403335040558744;0,43805723188002;0,436692597664054;0,482450088224729;0,500602350569185;0,525044807036845;0,470490675820649;0,508835667896869;0,494154594018443;0,427716398541801;0,419129307741976;0,383216751851331;0,45747712598372;0,7536;-0,503;0,932630687893123
27962;Пенза;53,1;45;5,3;5,1;5,5;4,1;3,7;2,3;2,3;2,6;3,4;4,8;4,7;5,8;8;8,2;8,4;7,8;7,1;6,3;6;6,3;7,1;8,6;7,9;8,2;8,6;9,1;9,1;8,5;7,8;6,8;6,5;7,1;7,8;9,4;8,5;9;0,178814117391155;0,20624367628578;0,183916596567638;0,279310745970745;0,28305662465208;0,437612713435989;0,416423414366051;0,384367201482764;0,31977943167682;0,253257213867981;0,225529233354724;0,150385858820779;0,276558068989376;1,0216;-0,994;0,967729300992793
34172;Саратов;51,6;46;5,6;5,2;5,5;4,9;4,7;4,5;4,6;4,4;4,4;4,8;5,5;5,6;8,3;7,7;7,8;7,7;7,4;7,2;7;7,2;7,3;7,7;7,8;7,9;8,8;8,5;8,5;8,4;8;7,5;7,6;7,6;7,8;8,4;8,4;8,6;0,170890065369874;0,170487381537683;0,151731913196237;0,196294645143968;0,197133861795259;0,204119982655925;0,182340208332683;0,213879819945081;0,219870183634268;0,205249487796895;0,151731913196237;0,149439064284241;0,184430710574029;1,5428;-1,333;0,914603739331958
23418;Печора;65;57,1;3,7;3,5;3,4;3,1;3,1;3;2,7;3;3,5;4;3,5;3,5;7,2;7,5;7,5;6,7;6,7;6,4;6,1;6,1;6,8;7,4;7,1;7,3;8,1;8,5;8,4;7,7;7,7;7,1;6,8;6,8;8;8,5;8,2;8,3;0,289130772364273;0,330993219041424;0,343582346349445;0,334713108866554;0,334713108866554;0,329058719264225;0,35396607085178;0,308208580291105;0,288440868355961;0,267171728403014;0,3071903043688;0,31925481577018;0,317201970232776;0,6294;-0,574;0,752529069205968
23804;Сыктывкар;61,7;50,8;4,3;4,6;4,5;3,9;3,3;3,1;2,8;3;4;4,8;4,6;4,9;7,5;7,6;7,4;7;6,7;6,4;5,9;5,9;7;7,4;7,4;7,9;7,8;7,9;7,8;7,2;7;6,6;6,1;6,2;7,4;7,9;7,9;8,4;0,241592807812114;0,218055760599217;0,216019205955633;0,254033432987758;0,307560862822939;0,314818280149614;0,323693980299925;0,293730756922482;0,243038048686294;0,187990482355389;0,206473888049402;0,207431011261928;0,251203209825225;0,845;-0,901;0,965867485734974
22520;Кемь-Порт;65;34,8;4,9;4,3;4,2;3,9;3,1;3;2,9;3,2;3,8;4,6;4,7;4,8;8,6;8;8,3;7,6;7,1;6,6;6,6;6,9;7,6;8,4;8,2;8,4;9,8;9;9;8,6;7,9;7,3;7,4;7,5;8,5;9,5;9,3;9,2;0,244302371215054;0,269621531412357;0,295828801978173;0,289748985254292;0,359896654884803;0,342422680822206;0,357145937642913;0,333699112417349;0,301029995663981;0,261521454380308;0,241715994447999;0,243038048686294;0,294997630733811;0,8072;-0,75;0,976319619796714
22820;Петрозаводск;61,8;34,3;3,9;3,8;4;3,6;2,9;3,1;2,8;2,8;3,2;4;4,1;4,2;8,1;8,3;9,1;8,3;7,3;7,7;7,5;7,7;8,3;8,8;8,6;9;9,1;9,3;9,5;9,1;8,1;8,2;7,9;8,4;9;9,7;9,6;10;0,317420411852151;0,339294495759264;0,356981400993131;0,362775591608787;0,4009248622215;0,395129031338209;0,427903232049481;0,439332693830263;0,413928114056168;0,342422680822206;0,321714594523832;0,330993219041424;0,370735027341368;0,8692;-0,686;0,93936148526539
22802;Сортавала;61,7;30,7;2,8;2,8;2,2;2,1;1,7;1,4;1,3;1,4;2;2,9;3,2;3,6;6,4;6,2;6,2;6,1;5,6;5,2;5,3;5,4;5,8;6,8;6,5;6,8;7,8;7,6;7,7;7,4;7;6,6;6,7;6,6;7,1;8,1;7,7;8,1;0,359021942641668;0,345233658156035;0,449969008676048;0,463110540276848;0,517739105627926;0,569875307956561;0,610332517293952;0,586265724144731;0,462397997898956;0,37011091480728;0,30776337832295;0,276206411938949;0,443168875645159;0,762;-0,742;0,986306240475036
22550;Архангельск;64,6;40,5;5;4,8;4;4,1;3,5;3;3,2;3,5;4;4,7;4,9;4,8;8,5;8,1;7,7;7,5;7;6,4;6,6;6,8;7,1;7,8;8,3;8,4;8,8;8,4;7,9;7,7;7,1;6,5;6,7;7;7,4;8,3;8,8;8,7;0,230448921378274;0,227243781503063;0,28443073384452;0,262277406671965;0,301029995663981;0,329058719264225;0,314393957221963;0,288440868355961;0,249198357391113;0,219996744754763;0,22888201234756;0,243038048686294;0,264869962256973;0,752;-0,75;0,958018788959799
27037;Вологда;59,3;39,9;5;4,6;4,7;4,3;3,7;3,2;2,9;3,4;3,6;4,8;4,7;5,5;7,5;7,6;7,7;7,6;6,9;6,9;6,6;6,8;6,7;7,5;7,2;8;8,5;8,7;8,7;8,6;7,9;7,9;7,4;7,7;7,9;8,7;8,4;9,3;0,176091259055681;0,218055760599217;0,214392867236764;0,247345136701205;0,27064736667026;0,333699112417349;0,357145937642913;0,301029995663981;0,269772301933539;0,193820026016113;0,185234638495551;0,1627272974977;0,244163474994189;1,3903;-1,249;0,979489663038871
26702;Калиниград;54,7;20,6;6,2;6;5,7;5,2;4,6;4,4;5;5,1;5,6;6,2;7,1;6,5;9,6;9,3;8,9;8,6;7,9;8;8;8,5;8,6;9,1;10,3;9,6;9,6;9,3;8,9;8,7;8;7,9;8;8,5;8,8;9,3;10,3;9,4;0,189879543541315;0,190331698170291;0,193515150972421;0,218495107608769;0,234869259608867;0,259637310505756;0,204119982655925;0,221848749616356;0,186310424237367;0,16664970282284;0,161578875986097;0,169357876396713;0,199716140176893;1,0139;-0,951;0,94847245611035
22113;Мурманск;69;33;4,7;4,2;3,9;3,5;2,9;3,1;2,9;2,6;3,6;4,5;4,6;4,5;7,2;7;6,8;6,3;5,6;5,7;5,3;5;6,5;7,5;7,1;7,1;8,2;8;7,6;7,2;6,2;6,3;6;5,9;7,3;8,2;8,3;8,1;0,185234638495551;0,221848749616356;0,241444305679737;0,255272505103306;0,285790029107244;0,264513161838219;0,261877871701833;0,283996656365201;0,256610855875568;0,221848749616356;0,188500517037501;0,198045834943732;0,238748656281717;0,5712;-0,678;0,926228913390205
22217;Кандалакша;67,1;32,4;3,1;2,9;3;2,6;2,4;2,7;2,6;2,5;2,9;3,3;3,2;3,3;6,2;6,1;5,7;5,2;5,4;5,6;5,3;5,3;6;6,4;6,3;6,5;6,7;6,4;6,1;5,5;5,8;6;5,6;5,6;6,5;7;6,8;7;0,301029995663981;0,322931837111811;0,278753600952829;0,301029995663981;0,352182518111363;0,316824262847213;0,309302521629971;0,326335860928751;0,315753252484688;0,287666034106;0,294190571133676;0,294399416764968;0,308366655616603;0,487;-0,437;0,752994023880668
26063;Санкт-Петербург;60;30,3;4;3,9;3,9;3,1;2,9;2,7;2,6;3;2,9;3,6;3,4;4;8,5;8,2;8,4;7,9;7,6;7,5;7,1;7,6;7,6;8,5;7,5;8,7;9,7;9,6;9,5;9,1;8,5;8,2;7,8;8,5;8,9;10;8,9;10;0,32735893438633;0,322749245357217;0,333214679035383;0,406265397456169;0,418415594381835;0,443697499232713;0,436285000748257;0,403692337561129;0,418415594381835;0,373116424947005;0,343582346349445;0,337459261290656;0,380354359593998;0,897;-0,725;0,961977130705299
23205;Нарьян-Мар;67,7;53;5,4;5,6;5,4;5,2;5,3;5,1;4,3;4,3;4,6;4,9;4,9;5,5;8,5;8,5;8,8;8,5;8;7,7;7;7,4;8;8,3;8,4;8,5;9,4;9,5;9,3;8,9;8,4;7,8;7,3;7,7;8,4;9,1;9,5;9,7;0,197025165891324;0,181230898708092;0,2120889123272;0,213415582079494;0,178814117391155;0,178920549074546;0,21162958443467;0,23576326415139;0,24033215531037;0,22888201234756;0,234083206033368;0,189056236220049;0,208436806997435;0,7828;-0,823;0,674091981854109
26298;Бологое;57,9;34;3,6;3,6;3,3;2,6;2,1;1,8;1,8;2,1;2,3;3,1;3,3;3,8;8,5;8,8;8,6;8,3;7,2;7,5;7,6;7,8;8,3;8,7;8,4;9,2;9,1;9,3;9,2;8,7;7,5;7,7;7,8;8,2;8,7;9,3;8,8;9,6;0,373116424947005;0,388180171382881;0,41598451136568;0,504104744405256;0,535113201697349;0,619788758288394;0,625541087177485;0,569875307956561;0,557350256358481;0,448157558784346;0,405765346183994;0,384004230728745;0,485581799939681;0,9368;-0,682;0,986762382744701
27947;Тамбов;52,7;41,5;4;4,1;4,3;3,3;2,7;2,4;2,2;2,2;2,6;3,5;3,8;4,1;8,7;9;9;8,5;7,4;7;6,6;7;7,6;8,9;8,3;8,5;9,3;9,8;9,7;9,5;8;7,5;7;7,7;8,3;9,6;8,7;8,9;0,337459261290656;0,341458652719589;0,320774053859738;0,410904985836405;0,437867955571989;0,464886798302651;0,477121254719662;0,502675359192051;0,465840244309973;0,405321962294637;0,339294495759264;0,316635068994557;0,401686674404264;0,8301;-0,64;0,967005687677172
27707;Сухиничи;54,1;35,3;5;5,1;4,8;3,8;3;2,7;2,5;2,5;3;4;4,6;4,8;9,8;9,7;9,5;9,3;8,5;7,8;8,1;8,3;8,6;9,4;9,3;9,1;10,2;10,3;9,9;9,8;8,6;7,6;7,9;8,2;8,8;9,9;9,6;9,3;0,292256071356476;0,279201558168308;0,296482367913261;0,388699351937125;0,45229767099463;0,460730838531493;0,510545010206612;0,521138083704036;0,457377196523905;0,371067862271736;0,305725116872361;0,277800154945506;0,384443440285454;1,1386;-0,854;0,986002028395479
34009;Курск;51,7;36,2;4,7;4,8;4,6;3,9;3,4;2,8;2,7;3;3;3,7;4,5;4,4;9,2;9,1;9,5;9,2;8,1;7,2;7,2;7,7;7,9;8,3;9;9;9,2;9,2;9,4;9,2;8,2;7,4;7,2;7,6;8,2;8,5;9,1;9,1;0,291689969409838;0,277800154945506;0,314965773607274;0,372723220319056;0,377006101836395;0,410174465089049;0,425968732272281;0,409369470452819;0,420505836570779;0,350876368309079;0,301029995663981;0,310789832953137;0,3552416601191;0,8725;-0,693;0,965453261426984
26781;Смоленск;54,8;32,1;5,5;5,9;5,6;4,2;3,7;3,3;3,4;3,4;3,9;4,8;5,4;5,4;9,4;9,8;9,5;8,7;7,9;7,4;7,4;7,8;8,2;8,7;9,4;9,4;10;10,6;10,4;9,3;8,2;7,8;7,7;8,1;9,2;9,7;10,4;9,7;0,232765164105455;0,220374064050351;0,229535578282647;0,316269962220718;0,329425367223446;0,350717779853089;0,337752802688721;0,360615685648225;0,322749245357217;0,258278015243031;0,24073409377673;0,24073409377673;0,286662654352197;0,9841;-0,838;0,987775278087076
27612;Москва;55,8;37,6;2,4;2,1;2;1,9;1,3;1,1;1,1;1,1;1,1;1,9;2,2;2,6;7,6;7,3;7,1;6,9;6,6;6,6;6,5;6,8;6,7;7,3;7,1;7,4;9,1;8,8;8,5;8,4;7,9;7,5;7,2;8,1;8,2;9,1;8,5;8,9;0,500602350569185;0,541103565386537;0,550228353055094;0,560095489784426;0,705600583235032;0,778151250383644;0,77152067148463;0,791116227548011;0,784682117542601;0,584569259167627;0,508835667896869;0,454258371760158;0,627563658984485;0,8288;-0,596;0,996192752432982
